path,stem,title,link,slug,category_title,category_slug,source_type,length,matched_categories,preview
"llm-wikid\raw\articles\学习AI\代码自动化\47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口.md","47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口",飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口,"[[47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口]]",47天-飞书cli破万星-这是淘金开始的序曲-飞书-cli-47-天破万星-开发者为什么在抢企业数字孪生入口,AI for Research,ai_for_research,notes,9311,AI for Research; Career and Business Ideas; Research Tools and Methods,飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口 笔记同步助手 来源 [原文链接](https://v.douyin.com/j5hs2UU1RtY/) 正文 **作者：**小天fotos 一、飞书 CLI 破万星：不只是一个开源项目的增长 飞书 CLI 在约一个半月内 GitHub Star 破万。作者认为，这并不只是“一万个开发者收藏了一个项目”，而更像是一批开发者正在进入一座新的“金矿”：企业数字孪生与企业 AI 转
llm-wikid\raw\articles\学习AI\代码自动化\十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏.md,十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏,十年前端三天的活被codex 3分钟干完了，天塌了 #ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏,[[十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏]],十年前端三天的活被codex-3分钟干完了-天塌了-ai-我在抖音聊科技-当我开始使用codex-vibecoding-vibecoding大赏,AI for Research,ai_for_research,notes,756,AI for Research; Career and Business Ideas,十年前端三天的活被codex 3分钟干完了，天塌了 #ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏 作者: idol ![[llm-wikid/raw/assets/images/a2556c9bd6de57d47c354ebda9019aa3_MD5.jpg|视频截图]] 视频截图 ![[llm-wikid/raw/assets/images/91c80ee703a4a51ffe
llm-wikid\raw\articles\学习AI\工具流程\学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。.md,学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。,这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。,[[学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。]],学习-ai-这个封装了我3年自媒体经验的ai热点网站-今天向所有人免费开放,AI for Research,ai_for_research,notes,7793,AI for Research; Career and Business Ideas; Research Tools and Methods,这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyMzA5NjEyMA==&mid=2647682019&idx=1&sn=13723968587c20aa81d71ed8c3b52fae&chksm=f13b89a4e097bd769c72b220a043f2ad67f8b5fb6b55e2f089b3d1bfc
llm-wikid\raw\articles\学习AI\工具流程\想要理解生命如何运作，我们首先要能够看见生命。 针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次.md,想要理解生命如何运作，我们首先要能够看见生命。 针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次,针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次,[[想要理解生命如何运作，我们首先要能够看见生命。 针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次]],想要理解生命如何运作-我们首先要能够看见生命-针灸的科学机制首次被拍下-清华与华科团队打造ai介观显微镜-1次实验抵过去100次,AI for Research,ai_for_research,article,6360,AI for Research; Research Tools and Methods; Career and Business Ideas; Plant Phenotyping and Imaging,针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&mid=2649800899&idx=1&sn=354a2b5b558cdfa4e0febe936f682df2&chksm=8666afd1ee59b67473e58c92347958d967cefb15c42cd42e
llm-wikid\raw\articles\学习AI\提示词与生图\提问永不过时 都Agent时代了，我还是想分享给你这12个我最常用的Prompt。.md,提问永不过时 都Agent时代了，我还是想分享给你这12个我最常用的Prompt。,都Agent时代了，我还是想分享给你这12个我最常用的Prompt。,[[提问永不过时 都Agent时代了，我还是想分享给你这12个我最常用的Prompt。]],提问永不过时-都agent时代了-我还是想分享给你这12个我最常用的prompt,AI for Research,ai_for_research,notes,11655,AI for Research; Life and Health,都Agent时代了，我还是想分享给你这12个我最常用的Prompt。 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyMzA5NjEyMA==&mid=2647685346&idx=1&sn=0fc8dc62bcf67a466552d1204205ef31&chksm=f1c4daa88086d2c7edd7fc6cbfcb350c6bac2b3131f372da82dba7e
"llm-wikid\raw\articles\学习AI\模型观察\Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍....md","Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...","Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...","[[Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...]]",nature-警惕使用chat-gpt-这些词汇轻易暴露论文是chat-gpt帮忙写的-有专家呼吁零容忍,AI for Research,ai_for_research,article,4229,AI for Research; Research Tools and Methods; Career and Business Ideas; Maize Genetic Transformation,公众号名称：胡纯一实验室 Hu lab 作者名称：Hu Lab不二 发布时间：2024-04-12 07:39 随着ChatGPT的问世和普及，它迅速成为了科技领域的热门话题。​作为一种先进的大型语言模型，ChatGPT能够理解和生成人类般的文本，其应用范围广泛，从日常对话到专业的学术写作均有涉及。​这种技术不仅展示了人工智能在语言理解和生成方面的巨大潜力，也引发了对其长远影响的深入讨论。​在学术领域，ChatGPT的使用尤其引人注目，
llm-wikid\raw\articles\学习AI\模型观察\世界模型正在重新定义“游戏”的价值.md,世界模型正在重新定义“游戏”的价值,世界模型正在重新定义“游戏”的价值,[[世界模型正在重新定义“游戏”的价值]],世界模型正在重新定义-游戏-的价值,AI for Research,ai_for_research,article,9914,AI for Research; Research Tools and Methods; Career and Business Ideas,公众号名称：DeepTech深科技 作者名称：加洋 发布时间：2026-06-29 19:19 > 📹 此处为视频内容，请前往原文查看：[在公众号原文中观看](https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&mid=2649799632&idx=1&sn=e1772d607a6deac26e52b7b5acc0e9d3&chksm=86a8f622e290ff845e18b09bcde
llm-wikid\raw\articles\学习AI\模型观察\他的目标是打造一种完全不同于当前大语言模型的 AI 系统。 强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战.md,他的目标是打造一种完全不同于当前大语言模型的 AI 系统。 强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战,强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战,[[他的目标是打造一种完全不同于当前大语言模型的 AI 系统。 强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战]],他的目标是打造一种完全不同于当前大语言模型的-ai-系统-强化学习之父-年近七旬的richard-sutton宣布创业-向llm范式宣战,AI for Research,ai_for_research,notes,4805,AI for Research; Bioinformatics Analysis; Research Tools and Methods,强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&mid=2649800688&idx=1&sn=c72ebb8252f20705c2de390191c69939&chksm=86faa7f4c106510aa19c62ae71e62de099581a64dba0e92723
llm-wikid\raw\articles\学习AI\模型观察\微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。.md,微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。,体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。,[[微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。]],微信-agent-体验完微信agent以后-我觉得这就是微信有史以来最大的更新,AI for Research,ai_for_research,notes,8654,AI for Research; Career and Business Ideas; Research Tools and Methods,体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyMzA5NjEyMA==&mid=2647683790&idx=1&sn=43c90d4ebe98a2ff2cd241a95a94a38d&chksm=f1509bf18af210fe485d86c3816bbd435ae70e60542444bf625c74bff9
llm-wikid\raw\articles\待细分\ 2026.7.17 王冰冰  AI  育种落地应用之路.md, 2026.7.17 王冰冰  AI  育种落地应用之路,2026.7.17 王冰冰  AI  育种落地应用之路,[[ 2026.7.17 王冰冰  AI  育种落地应用之路]],2026-7-17-王冰冰-ai-育种落地应用之路,AI for Research,ai_for_research,notes,1915,AI for Research; Maize Yield and Breeding,2026.7.17 王冰冰  AI  育种落地应用之路 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzkzODExMjczNQ==&mid=2247495332&idx=1&sn=65fddbb1cb624bf30a662194e17150d6&chksm=c3344b2c519010b32c8b69ed1641fd62cf1cfc2f31d4c09cf953a97a024da0
