source_path,target_path,rule_name,route_mode,source_kind,body_length
llm-wikid/raw/articles/待细分/ 历时18年攻关！万建民团队揭示亚洲栽培稻与非洲栽培稻种间生殖隔离的分子机制.md,llm-wikid/raw/articles/待细分/ 历时18年攻关！万建民团队揭示亚洲栽培稻与非洲栽培稻种间生殖隔离的分子机制.md,skip_open_note,deferred,open_note,9465
llm-wikid/raw/articles/待细分/https---share.rayneo.cn-vBHBMw1X Session Sharing.md,llm-wikid/raw/articles/待细分/https---share.rayneo.cn-vBHBMw1X Session Sharing.md,skip_open_note,deferred,open_note,508
llm-wikid/raw/articles/待细分/数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，....md,llm-wikid/raw/articles/待细分/数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，....md,skip_open_note,deferred,open_note,14751
llm-wikid/raw/articles/待细分/铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3....md,llm-wikid/raw/articles/待细分/铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3....md,skip_open_note,deferred,open_note,9596
llm-wikid/raw/articles/科研/植物抗逆/抗逆机制/【Trends in Plant Sci】新方向！南京农大与德州理工团队探索植物抗逆的“隐藏密码”：染色体外环状DNA.md,llm-wikid/raw/articles/科研/植物抗逆/抗逆机制/【Trends in Plant Sci】新方向！南京农大与德州理工团队探索植物抗逆的“隐藏密码”：染色体外环状DNA.md,skip_open_note,deferred,open_note,4013
llm-wikid/raw/articles/科研/植物抗逆/耐光强/李家洋团队最新Cell.md,llm-wikid/raw/articles/科研/植物抗逆/耐光强/李家洋团队最新Cell.md,skip_open_note,deferred,open_note,5341
llm-wikid/raw/articles/科研/植物抗逆/耐旱/ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,skip_open_note,deferred,open_note,6496
llm-wikid/raw/articles/科研/植物抗逆/耐旱/ 全面系统总结植物干旱胁迫感知、信号转导及糖转运调控的最新研究进展.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/ 全面系统总结植物干旱胁迫感知、信号转导及糖转运调控的最新研究进展.md,skip_open_note,deferred,open_note,4808
llm-wikid/raw/articles/科研/植物抗逆/耐旱/本研究系统对比了无人机高通量表型与传统冠层萎蔫目测评分在大豆耐旱性评价中的表现，证实无人机多光谱指标能更稳定、更准确地反映雨养条件下的产量保持能力。 无人机表型鉴定技术评估雨养大豆耐旱性及产量保持能力.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/本研究系统对比了无人机高通量表型与传统冠层萎蔫目测评分在大豆耐旱性评价中的表现，证实无人机多光谱指标能更稳定、更准确地反映雨养条件下的产量保持能力。 无人机表型鉴定技术评估雨养大豆耐旱性及产量保持能力.md,skip_open_note,deferred,open_note,11205
llm-wikid/raw/articles/科研/植物抗逆/耐高温/ Nature Plants - 一条进化保守的高温响应信号通路.md,llm-wikid/raw/articles/科研/植物抗逆/耐高温/ Nature Plants - 一条进化保守的高温响应信号通路.md,skip_open_note,deferred,open_note,6748
llm-wikid/raw/articles/科研/科研工具/了解-可能用到/目前，各地玉米陆续成熟收获，新季玉米上市已悄然拉开序幕。 玉米收获后光知道晾晒可不行，想卖个好价钱，你得这样做！.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/目前，各地玉米陆续成熟收获，新季玉米上市已悄然拉开序幕。 玉米收获后光知道晾晒可不行，想卖个好价钱，你得这样做！.md,skip_open_note,deferred,open_note,7927
llm-wikid/raw/articles/科研/科研工具/高温表型工具/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,skip_open_note,deferred,open_note,9021
