old_path,new_path,action,candidate_count
llm-wikid/raw/articles/待细分/数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，....md,llm-wikid/raw/articles/待细分/数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，....md,kept,
llm-wikid/raw/articles/学习AI/工具流程/想要理解生命如何运作，我们首先要能够看见生命。 针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次.md,llm-wikid/raw/articles/学习AI/工具流程/想要理解生命如何运作，我们首先要能够看见生命。 针灸的科学机制首次被拍下！清华与华科团队打造AI介观显微镜，1次实验抵过去100次.md,kept,
llm-wikid/raw/articles/生活/健康知识/朱健康院士等综述植物非生物胁迫信号转导 【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）.md,llm-wikid/raw/articles/生活/健康知识/朱健康院士等综述植物非生物胁迫信号转导 【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）.md,kept,
llm-wikid/raw/articles/生活/健康知识/当玉米茎的顶端分生组织开始雄穗分化时，标志着营养生长阶段的结束。当雄穗进入小花分化期时，上部茎节的腋芽即进入生长锥... 造成玉米秃尖的主要因素有哪些？如何应对？.md,llm-wikid/raw/articles/生活/健康知识/当玉米茎的顶端分生组织开始雄穗分化时，标志着营养生长阶段的结束。当雄穗进入小花分化期时，上部茎节的腋芽即进入生长锥... 造成玉米秃尖的主要因素有哪些？如何应对？.md,kept,
llm-wikid/raw/articles/生活/健康知识,llm-wikid/raw/articles/生活/健康知识,kept,
llm-wikid/raw/articles/科研/植物抗逆/耐旱/干旱是影响全球玉米生产稳定性的主要非生物胁迫因素之一，为应对这一环境挑战，作物在长期演化过程中形成了“干旱逃逸 河南农业大学玉米团队揭示ZmFKF1b–ZmEREB214基因模块协同调控玉米耐旱....md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/干旱是影响全球玉米生产稳定性的主要非生物胁迫因素之一，为应对这一环境挑战，作物在长期演化过程中形成了“干旱逃逸 河南农业大学玉米团队揭示ZmFKF1b–ZmEREB214基因模块协同调控玉米耐旱....md,kept,
llm-wikid/raw/articles/科研/玉米知识体系/大喇叭口期是玉米雌雄穗集中分化的核心节点，直接决定果穗大小、籽粒行数、穗粒数与花粉总量，同时也是玉米全生育期水肥需... 为什么说玉米大喇叭口期是田间管理的核心节点？.md,llm-wikid/raw/articles/科研/玉米知识体系/大喇叭口期是玉米雌雄穗集中分化的核心节点，直接决定果穗大小、籽粒行数、穗粒数与花粉总量，同时也是玉米全生育期水肥需... 为什么说玉米大喇叭口期是田间管理的核心节点？.md,kept,
llm-wikid/raw/articles/科研/科研工具/生信工具/基于结构与进化指导的微型RNA引导的核酸酶的设计 诺奖团队最新Science：AI设计“迷你”基因编辑酶，超越自然进化，高效编辑人类基因组.md,llm-wikid/raw/articles/科研/科研工具/生信工具/基于结构与进化指导的微型RNA引导的核酸酶的设计 诺奖团队最新Science：AI设计“迷你”基因编辑酶，超越自然进化，高效编辑人类基因组.md,kept,
llm-wikid/raw/articles/科研/科研工具/了解-可能用到/冠层芳樟醇积累驱动根际菌群重组，增强后续植株抗性 芳樟醇连接玉米地上交流与地下防御 - Science揭示密植玉米的植物—土壤防御反馈.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/冠层芳樟醇积累驱动根际菌群重组，增强后续植株抗性 芳樟醇连接玉米地上交流与地下防御 - Science揭示密植玉米的植物—土壤防御反馈.md,kept,
llm-wikid/raw/articles/学习AI/模型观察/他的目标是打造一种完全不同于当前大语言模型的 AI 系统。 强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战.md,llm-wikid/raw/articles/学习AI/模型观察/他的目标是打造一种完全不同于当前大语言模型的 AI 系统。 强化学习之父、年近七旬的Richard Sutton宣布创业，向LLM范式宣战.md,kept,
llm-wikid/raw/articles/待细分/从除草剂到基因帝国：孟山都如何掌控下一代农业价值？ 从一瓶除草剂到一个基因帝国- 智种全球眼.md,llm-wikid/raw/articles/待细分/从除草剂到基因帝国：孟山都如何掌控下一代农业价值？ 从一瓶除草剂到一个基因帝国- 智种全球眼.md,kept,
llm-wikid/raw/articles/待细分/从“知道病因”到“检测患者”——我们如何用PCR确定谁携带致病突变？在上一期中，我们学习了基因组中各种各样的DNA变异。 第48期：12.2 已知致病突变的基因分型.md,llm-wikid/raw/articles/待细分/从“知道病因”到“检测患者”——我们如何用PCR确定谁携带致病突变？在上一期中，我们学习了基因组中各种各样的DNA变异。 第48期：12.2 已知致病突变的基因分型.md,kept,
llm-wikid/raw/articles/科研/科研工具/了解-可能用到/GS育种选择技术，植物育种应该审慎使用。玉米DH系育种，不建议使用（不能听说国外同行在用DH+GS就盲目跟风），大公司可以考虑审慎使用，中小公司考虑成本可以不用。 再议： 为什么玉米DH系育种不....md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/GS育种选择技术，植物育种应该审慎使用。玉米DH系育种，不建议使用（不能听说国外同行在用DH+GS就盲目跟风），大公司可以考虑审慎使用，中小公司考虑成本可以不用。 再议： 为什么玉米DH系育种不....md,kept,
llm-wikid/raw/articles/科研/科研工具/了解-可能用到/ Cell - 南京农大再发Cell正刊，国内植物学课题组发两篇Cell.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/ Cell - 南京农大再发Cell正刊，国内植物学课题组发两篇Cell.md,kept,
llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.19 谢传晓 农业生物基因组育种-玉米与生猪之比较（南北学院）.md,llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.19 谢传晓 农业生物基因组育种-玉米与生猪之比较（南北学院）.md,kept,
llm-wikid/raw/articles/待细分/ 2026.7.17 王冰冰  AI  育种落地应用之路.md,llm-wikid/raw/articles/待细分/ 2026.7.17 王冰冰  AI  育种落地应用之路.md,kept,
llm-wikid/raw/articles/科研/植物抗逆/耐旱/ 2026.7.15 李晨光 以产量为核心的玉米抗旱性鉴定方法体系及其生产适用性分析（南北学院）.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/ 2026.7.15 李晨光 以产量为核心的玉米抗旱性鉴定方法体系及其生产适用性分析（南北学院）.md,kept,
result/2026-07-28_213954_web_clipper_import_manifest.csv,result/2026-07-28_213954_web_clipper_import_manifest.csv,kept,
QuickCapture.md,QuickCapture.md,kept,
llm-wikid/raw/昆士兰大学Owen M. Powell团队为育种装上“生物学大脑”：将植物生理规则写入预测模型，玉米小麦等已验证，跨环境预测更精准。未来整合分子网络，育种将从“凭运气”走向“靠设计”。 Tren....md,llm-wikid/raw/articles/股票/前沿消息/昆士兰大学Owen M. Powell团队为育种装上“生物学大脑”：将植物生理规则写入预测模型，玉米小麦等已验证，跨环境预测更精准。未来整合分子网络，育种将从“凭运气”走向“靠设计”。 Tren....md,replaced_by_manifest,1
llm-wikid/raw/articles/科研/植物抗逆/耐旱/学习抗旱叶温指标衡量抗旱标准.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/学习抗旱叶温指标衡量抗旱标准.md,kept,
llm-wikid/raw/ 【New Phytologist】解锁植物温度密码：气孔调控的分子网络研究综述.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/ 【New Phytologist】解锁植物温度密码：气孔调控的分子网络研究综述.md,replaced_by_manifest,1
llm-wikid/raw/ FluorPheno：让光合作用看得见，让育种决策更智能.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/ FluorPheno：让光合作用看得见，让育种决策更智能.md,replaced_by_manifest,1
