group,source_path,target_path,bytes
学习AI,"学习AI\Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍....md","llm-wikid\raw\articles\学习AI\Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍....md",9405
生活,生活\周四提醒小宝打疫苗 乙肝疫苗接下来怎么接种？你想了解的都在这了！.md,llm-wikid\raw\articles\生活\周四提醒小宝打疫苗 乙肝疫苗接下来怎么接种？你想了解的都在这了！.md,2809
科研,科研\植物抗逆\抗逆机制\【Trends in Plant Sci】新方向！南京农大与德州理工团队探索植物抗逆的“隐藏密码”：染色体外环状DNA.md,llm-wikid\raw\articles\科研\植物抗逆\抗逆机制\【Trends in Plant Sci】新方向！南京农大与德州理工团队探索植物抗逆的“隐藏密码”：染色体外环状DNA.md,4009
科研,科研\植物抗逆\耐光强\李家洋团队最新Cell.md,llm-wikid\raw\articles\科研\植物抗逆\耐光强\李家洋团队最新Cell.md,5329
科研,科研\植物抗逆\耐寒\重磅！我国植物领域再发《Nature》.md,llm-wikid\raw\articles\科研\植物抗逆\耐寒\重磅！我国植物领域再发《Nature》.md,7021
科研,科研\植物抗逆\耐旱\学习抗旱叶温指标衡量抗旱标准.md,llm-wikid\raw\articles\科研\植物抗逆\耐旱\学习抗旱叶温指标衡量抗旱标准.md,7582
科研,科研\植物抗逆\耐盐\Science Bulletin - 万向元团队整合遗传和多组学方法挖掘玉米耐盐基因资源.md,llm-wikid\raw\articles\科研\植物抗逆\耐盐\Science Bulletin - 万向元团队整合遗传和多组学方法挖掘玉米耐盐基因资源.md,8469
科研,科研\玉米知识体系\搞清楚什么是穗内授粉时间差 玉米果穗授粉时间差：同步协调“源-库”和“个体-群体”关系，实现收获指数和产量协同提升.md,llm-wikid\raw\articles\科研\玉米知识体系\搞清楚什么是穗内授粉时间差 玉米果穗授粉时间差：同步协调“源-库”和“个体-群体”关系，实现收获指数和产量协同提升.md,6872
科研,科研\玉米遗传转化\玉米转化率痛点剖析 植物遗传转化与CRISPR-Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）.md,llm-wikid\raw\articles\科研\玉米遗传转化\玉米转化率痛点剖析 植物遗传转化与CRISPR-Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）.md,30261
科研,科研\科研工具\了解-可能用到\BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST.md,21636
